Year,Australia,New South Wales,Queensland,South Australia,Tasmania,Victoria,Western Australia
2000,648.92,613.25,860.67,281.29,1219.29,737.02,508.86
2001,496.9,502.32,519.56,279.64,1311.13,659.86,397.75
2002,343,359.99,401.76,130.84,1105.86,492.35,294.81
2003,466.77,510.52,530.53,237.09,1250.68,659.25,349.98
2004,496.68,528.43,655.45,205.5,1227.71,639.62,388.44
2005,407.03,510.95,474.3,212.17,1312.98,669.01,298.61
2006,455.37,365.92,596.8,156.73,836.87,398.29,432.16
2007,468.92,547.6,691.85,224.53,1077.36,617.5,318
2008,470.14,556.06,662.19,186.83,949.89,527.45,367.41
2009,483.17,494.44,734.21,216.67,1415.72,553.34,313.16
2010,644.57,821.83,1082.01,337.83,1175.85,898.66,300.23
2011,560.21,619.2,725.06,281.89,1284.89,769.25,448.36
2012,471.71,549.57,672.97,185.41,1119.3,612.67,336.89
2013,446.96,520.61,517.55,207.76,1204.25,644.29,365.65
2014,461.9,497.94,587.47,217.65,955.49,575.34,368.95
2015,450.31,564.44,579.16,208.54,881.34,558.74,323.91
2016,498.77,617.57,618.37,304.42,1237.26,773.32,361.7
2017,471.19,482.71,604.54,243.27,971.8,630.33,359.03
2018,447.31,408.84,601.86,206.14,1029.41,548.13,360.65
2019,377.37,354.19,578.17,152.57,867.16,520.84,249.19
2020,485.01,644.8,648.15,246.3,1207.14,718.55,330.65
2021,494.12,704.66,653.93,226.6,1250.11,754.38,332.22
