Year,Australia,New South Wales,Queensland,South Australia,Tasmania,Victoria,Western Australia
2003,22.12,17.79,23.84,19.63,10.83,14.29,22.66
2004,21.99,17.82,23.57,19.69,10.37,14.15,22.49
2005,22.48,18.15,24.14,19.96,11.06,14.53,22.94
2006,21.83,17.96,23.46,19.7,10.27,14.29,22.21
2007,21.99,18.18,23.28,19.98,11.18,14.92,22.44
2008,21.71,17.37,23.02,19.44,10.53,14.16,22.29
2009,22.11,18.23,23.36,20.07,10.87,14.71,22.62
2010,21.49,17.36,22.71,18.84,10.92,14.17,22.48
2011,21.44,17.56,22.61,19.42,10.92,14.41,22.3
2012,21.75,17.54,22.98,19.45,11.25,14.52,22.6
2013,22.72,18.45,24.19,20.43,11.48,15.11,23.22
2014,22.54,18.6,24,20.34,11.59,15.23,23.12
2015,22.33,18.05,23.92,19.68,11.05,14.65,23.14
2016,22.42,18.47,24.2,19.67,11.57,15.01,22.8
2017,22.49,18.6,24.33,20.06,11.44,15.01,22.8
2018,22.49,18.54,24.1,20.13,11.56,15.16,22.88
2019,22.79,18.67,24.04,20.26,11.45,15.05,23.59
2020,22.57,18.22,24.21,19.65,11.08,14.58,23.3
2021,22.06,17.53,23.87,19.26,10.99,14.35,22.68
