Year,Australia,New South Wales,Queensland,South Australia,Tasmania,Victoria,Western Australia
2003,15.14,10.98,17.01,12.47,6.33,8.28,15.55
2004,14.95,10.69,16.6,12.48,5.96,8.04,15.42
2005,15.41,11.1,17.3,12.57,6.64,8.32,15.77
2006,14.74,10.62,16.74,12.35,5.68,7.73,14.95
2007,14.94,11.36,16.62,12.68,6.73,8.75,15.08
2008,14.63,10.5,16.22,12.21,6.02,8.02,15.01
2009,14.96,11.26,16.34,12.9,6.62,8.41,15.28
2010,14.86,11.04,16.57,12.1,6.4,8.39,15.38
2011,14.53,10.77,15.72,12.43,6.58,8.6,15.33
2012,14.43,10.36,15.82,11.94,6.76,8.4,15.15
2013,15.5,11.14,17.05,13.06,7.07,8.91,15.99
2014,15.36,11.46,17.03,13,7.1,8.96,15.74
2015,15.25,11.14,16.96,12.43,6.62,8.5,15.96
2016,15.57,11.76,17.62,12.64,7.38,9.21,15.79
2017,15.22,11.32,17.18,12.63,7.04,8.74,15.49
2018,15.13,11.19,16.88,12.64,7.17,8.81,15.46
2019,15.35,11.32,16.93,12.55,6.92,8.67,15.89
2020,15.5,11.47,17.34,12.47,6.75,8.66,16.01
2021,15.01,10.7,17.02,12.08,6.68,8.42,15.46
